eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,prey_repro_thresh,pred_repro_thresh,prey_cooldown,pred_cooldown,max_prey,max_pred,pot_scale,pot_octaves,pot_lacunarity,pot_gain,pot_contrast,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
19,60.470986,0.014630,0.225530,0.060596,0.020000,0.010000,0.705124,0.714184,0.950000,0.700000,10.845876,20.000000,200.000000,40.000000,2.000000,6.008461,2.939840,0.300000,3.297850,0.000000,20.000000,0.050000,1.670595,0.100000,0.640250,10.000000,5.000000,1.000000,0.005000
20,60.790436,0.005000,0.050000,0.020000,0.002000,0.010000,0.200000,0.600000,0.809776,0.748861,4.000000,20.000000,285.555388,40.000000,5.431972,2.000000,3.173040,0.900000,4.447395,0.506967,80.760478,0.050000,4.559322,2.000000,0.300000,10.000000,0.500000,3.720490,0.005000
21,57.145362,0.029322,0.184737,0.020000,0.020000,0.010000,0.456163,1.000000,0.700000,0.700000,15.000000,20.000000,514.317344,200.000000,2.000000,7.000000,4.000000,0.300000,3.087449,1.000000,20.000000,0.050000,1.001286,1.737692,2.000000,100.000000,0.500000,3.339501,0.100000
22,57.152384,0.005000,0.157439,0.100000,0.003971,0.053674,0.800000,0.907416,0.794491,0.730222,15.000000,20.000000,600.000000,200.000000,4.697136,3.825356,2.856385,0.877081,6.000000,1.000000,245.702765,0.014157,5.000000,2.000000,0.300000,10.000000,2.324405,1.689103,0.005000
23,60.647056,0.005000,0.215698,0.100000,0.012538,0.080000,0.200000,0.781889,0.950000,0.700000,9.675581,6.000000,218.189302,200.000000,2.000000,2.000000,1.500000,0.879608,1.500000,0.000000,182.015028,0.002000,5.000000,0.100000,1.763853,100.000000,2.898874,1.000000,0.005000
24,60.911501,0.016769,0.050000,0.020000,0.004879,0.010000,0.800000,1.000000,0.950000,0.950000,12.946554,20.000000,600.000000,200.000000,2.000000,2.000000,4.000000,0.466790,5.924134,1.000000,20.000000,0.050000,2.531216,0.381742,0.902221,10.000000,2.602016,2.157887,0.058527
25,60.911501,0.005000,0.050000,0.061579,0.020000,0.017680,0.800000,1.000000,0.950000,0.950000,4.000000,20.000000,496.846506,99.841618,2.000000,2.672336,4.000000,0.300000,6.000000,0.000000,20.000000,0.049352,5.000000,2.000000,1.441574,100.000000,4.539686,2.151792,0.005000
26,61.328893,0.005000,0.050000,0.020000,0.002000,0.010000,0.200000,1.000000,0.950000,0.911895,13.794927,6.000000,462.007082,40.000000,2.189660,2.000000,2.751072,0.900000,4.287215,0.574755,47.947733,0.002000,0.500000,0.100000,0.741399,13.972955,2.567935,4.000000,0.060240
27,60.525171,0.050000,0.250000,0.064721,0.002193,0.010000,0.537280,1.000000,0.950000,0.700000,4.000000,7.695877,567.004992,200.000000,4.617328,7.000000,1.691690,0.900000,3.741050,1.000000,20.000000,0.050000,2.836254,0.100000,1.381764,100.000000,5.000000,1.000000,0.005000
28,57.146801,0.005000,0.250000,0.020000,0.002000,0.026619,0.473312,0.600000,0.700000,0.758483,5.644852,20.000000,220.672498,40.000000,2.000000,4.184687,2.721580,0.900000,6.000000,0.128983,300.000000,0.002000,1.362277,2.000000,0.300000,100.000000,2.770492,1.000000,0.005000
29,60.529302,0.005000,0.136528,0.077189,0.002000,0.074771,0.501783,0.647554,0.906466,0.700000,15.000000,6.000000,600.000000,40.000000,6.030462,6.726236,4.000000,0.300000,3.504916,0.799131,300.000000,0.038287,0.500000,0.100000,2.000000,100.000000,1.347071,1.000000,0.100000
30,60.647056,0.036745,0.050000,0.020000,0.015936,0.010000,0.200000,0.713464,0.950000,0.704729,4.000000,8.044955,200.000000,87.202720,4.925183,3.957530,1.500000,0.900000,6.000000,0.000000,20.000000,0.050000,5.000000,0.100000,2.000000,44.547374,5.000000,4.000000,0.005000
31,57.943671,0.050000,0.250000,0.100000,0.014890,0.010000,0.339866,0.600000,0.700000,0.700000,4.000000,10.670120,200.000000,45.970254,2.000000,7.000000,3.915137,0.900000,6.000000,1.000000,20.000000,0.002000,0.500000,2.000000,0.300000,100.000000,5.000000,2.807576,0.100000
32,58.059520,0.010949,0.050000,0.100000,0.002000,0.010000,0.439496,1.000000,0.700000,0.950000,11.031898,13.759067,200.000000,200.000000,8.000000,3.431153,1.500000,0.483381,6.000000,0.270710,20.000000,0.050000,0.500000,0.100000,0.735884,30.495715,3.326965,2.371883,0.100000
33,61.161868,0.050000,0.050000,0.020000,0.009971,0.080000,0.445564,0.749236,0.888304,0.950000,14.303693,20.000000,600.000000,193.178727,5.634292,4.965307,1.500000,0.854083,1.500000,0.850853,300.000000,0.040459,0.500000,0.100000,0.300000,10.000000,5.000000,3.678089,0.057676
34,60.911501,0.005000,0.051311,0.040739,0.002000,0.030751,0.800000,1.000000,0.950000,0.945888,4.000000,12.566790,200.000000,40.000000,7.255017,7.000000,3.433761,0.900000,6.000000,0.002225,252.905383,0.049431,0.500000,2.000000,2.000000,100.000000,3.564896,3.068216,0.082480
35,57.646927,0.005000,0.101474,0.060803,0.003605,0.010000,0.797393,0.600000,0.700000,0.950000,4.000000,6.000000,200.000000,200.000000,2.000000,4.206886,4.000000,0.300000,5.040361,0.261120,300.000000,0.025954,5.000000,0.100000,0.654142,14.796814,2.987822,2.613777,0.041202
36,57.145362,0.007726,0.185075,0.078859,0.020000,0.010000,0.753465,0.797804,0.700000,0.700000,10.257309,18.326398,600.000000,88.961708,8.000000,7.000000,2.704013,0.300000,1.500000,1.000000,65.436291,0.014247,2.419829,0.100000,2.000000,10.000000,4.099383,3.754848,0.005000
37,60.647056,0.050000,0.050000,0.099033,0.020000,0.010000,0.200000,1.000000,0.852370,0.700000,15.000000,20.000000,200.000000,67.433754,2.000000,2.000000,1.500000,0.818026,6.000000,0.000000,222.518501,0.005403,4.605932,0.100000,0.300000,39.651413,0.500000,1.000000,0.062781
38,57.937554,0.005000,0.250000,0.020000,0.002000,0.074328,0.280619,1.000000,0.700000,0.700000,4.000000,6.000000,200.000000,40.000000,6.353842,4.040724,1.500000,0.900000,3.327643,1.000000,20.000000,0.030444,0.500000,0.606606,0.300000,37.201496,0.500000,3.751093,0.089147
39,61.259327,0.050000,0.050000,0.020000,0.002000,0.010000,0.313388,0.734192,0.950000,0.872684,4.000000,20.000000,315.230932,200.000000,2.000000,7.000000,4.000000,0.900000,3.858578,0.000000,20.000000,0.004878,3.101642,1.147710,2.000000,50.626764,5.000000,1.000000,0.055420
40,61.172371,0.005000,0.050000,0.087410,0.018937,0.033307,0.721062,0.960454,0.811467,0.950000,4.000000,20.000000,600.000000,46.442196,2.000000,6.847876,2.010579,0.668535,5.420514,0.264343,156.250377,0.002000,4.129322,1.996241,1.428067,32.440730,0.500000,1.356804,0.032426
41,57.673523,0.037521,0.050000,0.100000,0.020000,0.010000,0.800000,0.805398,0.700000,0.924282,4.000000,16.502678,325.231895,40.000000,8.000000,2.000000,1.500000,0.900000,3.251769,0.056216,20.000000,0.014848,0.500000,0.663917,0.300000,100.000000,0.500000,1.000000,0.029862
42,60.296055,0.050000,0.114970,0.085906,0.005044,0.012638,0.800000,0.820122,0.921863,0.700000,4.000000,6.000000,600.000000,200.000000,2.000000,4.177075,1.904676,0.300000,1.685909,0.839152,300.000000,0.002000,4.088630,0.100000,2.000000,100.000000,5.000000,2.424756,0.022183
43,58.073043,0.050000,0.050000,0.020000,0.002000,0.010000,0.436961,0.819016,0.700000,0.840757,4.000000,6.000000,403.561292,200.000000,8.000000,2.000000,4.000000,0.900000,6.000000,1.000000,122.836360,0.002000,0.500000,1.007557,0.391063,96.348603,4.769951,1.000000,0.032822
44,60.911501,0.021219,0.158104,0.020000,0.002000,0.080000,0.800000,1.000000,0.946936,0.950000,4.000000,6.000000,600.000000,40.000000,2.000000,2.958579,3.117591,0.882517,4.451307,0.749793,266.102250,0.032572,1.361051,2.000000,2.000000,37.743421,5.000000,4.000000,0.026811
45,61.160871,0.005000,0.050000,0.020000,0.002000,0.010000,0.643430,0.600000,0.950000,0.930619,7.822876,10.920630,200.000000,40.000000,8.000000,2.000000,1.500000,0.780227,1.500000,0.861075,300.000000,0.020145,0.500000,0.100000,0.666846,19.258788,0.500000,1.000000,0.005591
46,61.335650,0.005753,0.050000,0.072359,0.010497,0.054618,0.271382,0.600000,0.839742,0.861257,4.716776,6.000000,600.000000,200.000000,8.000000,5.906408,4.000000,0.900000,6.000000,1.000000,55.066369,0.048846,5.000000,0.601639,2.000000,100.000000,2.496146,1.000000,0.100000
47,60.911501,0.027689,0.192203,0.020000,0.020000,0.028233,0.800000,0.784408,0.839503,0.902265,4.000000,6.000000,200.000000,40.000000,8.000000,4.086505,1.500000,0.300000,4.304474,0.804052,300.000000,0.050000,0.500000,0.100000,2.000000,100.000000,0.500000,1.000000,0.005000
48,57.686477,0.020596,0.050000,0.032071,0.014127,0.010000,0.800000,0.600000,0.700000,0.885683,4.000000,6.000000,200.000000,200.000000,8.000000,7.000000,4.000000,0.300000,6.000000,1.000000,300.000000,0.050000,0.500000,2.000000,1.146147,97.956844,0.500000,3.377471,0.100000
49,58.544917,0.005000,0.250000,0.020000,0.002000,0.010000,0.200000,0.697464,0.700000,0.950000,4.000000,15.268178,269.612347,109.883020,6.283847,7.000000,3.176876,0.524101,6.000000,0.394819,130.293678,0.050000,3.423562,0.100000,1.945858,100.000000,0.500000,1.000000,0.060667
50,60.782360,0.050000,0.050000,0.020000,0.020000,0.052842,0.200000,1.000000,0.946485,0.700000,9.974097,20.000000,600.000000,86.076104,8.000000,6.357875,4.000000,0.618943,1.500000,1.000000,300.000000,0.002000,5.000000,2.000000,2.000000,10.000000,2.093403,1.000000,0.100000
51,57.145362,0.030761,0.112090,0.020000,0.002000,0.080000,0.469023,1.000000,0.700000,0.723358,4.000000,20.000000,600.000000,40.000000,6.355502,2.000000,3.645670,0.695335,6.000000,1.000000,300.000000,0.002000,5.000000,2.000000,1.181980,100.000000,1.450244,3.652935,0.100000
52,57.146801,0.005000,0.215936,0.020000,0.002000,0.010000,0.511332,0.600000,0.700000,0.700000,4.000000,20.000000,600.000000,194.790430,8.000000,3.205572,3.742491,0.900000,3.056226,0.000000,20.000000,0.002000,5.000000,0.100000,0.300000,100.000000,5.000000,3.803943,0.005000
53,60.911501,0.005000,0.064023,0.099768,0.007566,0.010000,0.800000,1.000000,0.950000,0.950000,13.310887,20.000000,200.000000,182.171100,8.000000,7.000000,1.500000,0.300000,5.760131,1.000000,184.325634,0.004525,0.500000,0.100000,0.337502,10.000000,0.500000,3.907726,0.100000
54,58.066267,0.005000,0.050000,0.081949,0.012446,0.080000,0.408022,0.827499,0.700000,0.880816,4.043109,6.004882,202.444106,200.000000,8.000000,7.000000,1.500000,0.300000,6.000000,1.000000,20.000000,0.050000,5.000000,0.100000,1.949654,10.000000,0.500000,3.163386,0.036156
55,57.145362,0.005000,0.250000,0.100000,0.007980,0.010000,0.504487,0.600000,0.700000,0.700000,11.275334,13.791171,200.000000,92.611525,2.000000,6.694824,3.843992,0.619468,6.000000,1.000000,20.000000,0.002000,0.500000,0.100000,0.300000,100.000000,0.500000,1.000000,0.100000
56,57.654093,0.017690,0.050000,0.020000,0.014723,0.010000,0.800000,1.000000,0.700000,0.950000,15.000000,20.000000,600.000000,200.000000,8.000000,4.788000,4.000000,0.300000,1.500000,0.887823,300.000000,0.050000,4.169593,0.100000,1.470980,100.000000,2.661846,1.010873,0.100000
57,61.259327,0.037728,0.170535,0.020000,0.020000,0.010000,0.341470,0.988071,0.950000,0.871073,15.000000,20.000000,600.000000,40.000000,8.000000,7.000000,2.087072,0.900000,6.000000,0.108343,20.000000,0.006786,2.624415,0.100000,1.466083,62.724982,0.612986,1.000000,0.100000
58,60.911501,0.005000,0.250000,0.048785,0.002000,0.039406,0.800000,0.787541,0.934610,0.807350,15.000000,20.000000,261.026776,40.000000,2.347057,2.065884,2.305131,0.900000,6.000000,0.898389,300.000000,0.009885,0.846717,1.709624,0.300000,100.000000,4.047540,1.000000,0.005000
59,57.152384,0.011525,0.050000,0.100000,0.012590,0.010000,0.800000,0.759804,0.700000,0.726969,15.000000,6.000000,600.000000,40.000000,8.000000,2.389469,4.000000,0.900000,2.806921,1.000000,208.007863,0.003871,3.131216,1.976249,0.300000,10.000000,0.500000,1.000000,0.010699
60,57.653463,0.005000,0.217653,0.089229,0.020000,0.010000,0.647846,0.600000,0.717393,0.950000,11.967100,18.337361,409.183142,200.000000,2.775277,2.000000,1.500000,0.425863,1.500000,1.000000,287.960425,0.050000,5.000000,2.000000,1.178816,88.485276,0.500000,1.000000,0.045476
61,60.529302,0.050000,0.248600,0.089416,0.002000,0.067697,0.766032,1.000000,0.814516,0.729344,9.952113,10.122044,600.000000,40.000000,2.000000,7.000000,2.114269,0.300000,1.500000,0.339052,300.000000,0.050000,2.168628,0.100000,0.300000,37.807869,5.000000,4.000000,0.005000
62,60.911501,0.050000,0.250000,0.022143,0.002000,0.010000,0.800000,0.992150,0.950000,0.809291,15.000000,6.000000,200.000000,144.756499,2.000000,7.000000,2.687194,0.300000,6.000000,0.038719,300.000000,0.031705,0.500000,0.646493,2.000000,32.674092,0.500000,1.000000,0.068589
63,58.062330,0.028119,0.138105,0.036387,0.020000,0.075905,0.200000,0.779928,0.700000,0.700000,15.000000,20.000000,200.000000,125.815786,5.726519,5.217215,4.000000,0.900000,1.500000,0.638306,20.000000,0.026186,0.500000,0.205982,0.300000,10.290342,1.094862,1.000000,0.100000
64,57.152384,0.034096,0.250000,0.087699,0.020000,0.010000,0.800000,0.600000,0.700000,0.700000,10.660755,20.000000,200.000000,112.748175,2.000000,3.470296,4.000000,0.300000,5.201607,1.000000,20.000000,0.002000,5.000000,0.100000,0.300000,100.000000,0.500000,1.000000,0.100000
65,60.747076,0.014223,0.118686,0.100000,0.002000,0.010000,0.200000,1.000000,0.950000,0.700000,5.691044,20.000000,200.000000,40.000000,7.540524,6.314942,2.022724,0.900000,6.000000,0.944449,300.000000,0.050000,0.500000,0.100000,0.941369,91.615820,0.500000,4.000000,0.005000
66,57.154543,0.005000,0.069079,0.020000,0.015077,0.027606,0.800000,1.000000,0.700000,0.700000,15.000000,20.000000,200.000000,93.569086,8.000000,3.383185,1.791350,0.300000,1.500000,0.000000,300.000000,0.007533,5.000000,0.100000,2.000000,34.273164,0.500000,3.103775,0.050273
67,58.451812,0.005000,0.250000,0.076826,0.020000,0.010000,0.200000,1.000000,0.700000,0.950000,4.000000,16.542677,248.869605,40.000000,4.858603,5.028066,1.500000,0.362599,6.000000,0.903170,20.000000,0.050000,2.453701,1.305467,2.000000,100.000000,0.500000,3.415410,0.019837
68,61.159983,0.042464,0.177612,0.037253,0.002000,0.010000,0.546035,1.000000,0.914463,0.948427,4.000000,20.000000,200.000000,200.000000,2.000000,2.000000,4.000000,0.900000,1.500000,1.000000,102.798146,0.002000,5.000000,0.100000,0.300000,100.000000,4.745933,1.000000,0.045126
69,57.514027,0.036992,0.250000,0.100000,0.020000,0.010000,0.431222,0.956721,0.700000,0.764660,11.623542,6.000000,200.000000,200.000000,2.000000,7.000000,3.972792,0.563597,6.000000,0.855994,121.014806,0.030683,2.151237,2.000000,1.360839,100.000000,0.500000,1.000000,0.005000
70,58.501257,0.005000,0.250000,0.020000,0.002000,0.010000,0.200000,1.000000,0.700000,0.950000,6.845707,19.289944,200.000000,64.792165,7.941799,6.061870,4.000000,0.900000,1.500000,0.000000,257.898222,0.002000,0.500000,0.100000,0.972676,72.837503,5.000000,4.000000,0.052364
71,60.667030,0.020005,0.099265,0.020000,0.016650,0.035187,0.330872,0.600000,0.950000,0.711220,8.553997,6.000000,200.000000,40.000000,8.000000,3.525055,1.500000,0.300000,5.404412,0.955467,86.885753,0.024319,0.500000,0.719725,2.000000,12.200451,0.500000,1.000000,0.100000
72,58.021439,0.050000,0.250000,0.030522,0.020000,0.010000,0.363560,1.000000,0.713493,0.859637,4.000000,11.190648,467.340315,185.458870,2.000000,7.000000,2.518416,0.900000,2.976488,1.000000,20.000000,0.021736,5.000000,2.000000,2.000000,100.000000,5.000000,3.612042,0.083265
73,57.646927,0.050000,0.142125,0.100000,0.020000,0.010000,0.588637,1.000000,0.700000,0.824720,15.000000,8.960048,600.000000,40.000000,4.387940,2.000000,4.000000,0.900000,3.751778,0.000000,20.000000,0.014734,0.500000,0.658003,0.300000,100.000000,5.000000,1.000000,0.100000
74,57.152384,0.050000,0.185370,0.055060,0.020000,0.010000,0.800000,0.956773,0.700000,0.700000,14.883708,20.000000,374.780522,143.744159,5.418473,7.000000,1.921197,0.300000,5.921246,1.000000,234.053835,0.034271,0.500000,0.100000,0.300000,10.000000,0.500000,1.000000,0.100000
75,57.152384,0.014949,0.244377,0.090654,0.020000,0.055296,0.800000,1.000000,0.700000,0.700000,4.000000,6.000000,200.000000,200.000000,3.322348,2.000000,3.889295,0.900000,6.000000,1.000000,20.000000,0.002000,1.983484,2.000000,2.000000,43.269716,0.500000,1.000000,0.005000
76,58.059520,0.050000,0.138117,0.020000,0.006146,0.018877,0.417081,1.000000,0.700000,0.863224,4.000000,6.000000,600.000000,40.000000,7.047246,2.000000,4.000000,0.900000,5.222563,0.000000,20.000000,0.002000,0.500000,0.100000,1.557518,10.000000,0.500000,1.652743,0.005000
77,60.699796,0.005000,0.250000,0.020000,0.020000,0.037182,0.266152,0.905827,0.950000,0.700000,7.810511,18.731904,600.000000,40.000000,3.101343,4.387150,4.000000,0.772891,6.000000,1.000000,300.000000,0.050000,3.016150,0.799734,2.000000,100.000000,1.710092,3.690582,0.005000
78,57.152384,0.005000,0.174701,0.020000,0.020000,0.010000,0.800000,1.000000,0.700000,0.700000,4.000000,16.816679,200.000000,200.000000,2.802453,6.482338,4.000000,0.900000,2.213910,1.000000,300.000000,0.050000,2.760030,0.100000,2.000000,10.000000,0.500000,3.327312,0.072610
79,60.297645,0.005000,0.132901,0.100000,0.002000,0.072949,0.800000,1.000000,0.950000,0.700000,4.000000,20.000000,382.752552,121.087996,8.000000,2.000000,4.000000,0.900000,3.852731,1.000000,300.000000,0.050000,5.000000,1.392444,1.006955,70.548615,2.675462,1.000000,0.005000
80,57.154543,0.005000,0.240346,0.098473,0.017917,0.010000,0.800000,0.600000,0.700000,0.700000,7.961737,9.758922,600.000000,200.000000,2.000000,7.000000,4.000000,0.900000,1.500000,0.245853,20.000000,0.002000,0.500000,0.895406,0.673556,96.507106,0.500000,1.000000,0.100000
81,57.654093,0.050000,0.250000,0.020000,0.002000,0.036108,0.800000,0.600000,0.700000,0.950000,15.000000,6.000000,600.000000,40.000000,8.000000,7.000000,1.500000,0.300000,6.000000,0.873916,116.464617,0.018592,5.000000,1.406749,1.063566,100.000000,0.500000,4.000000,0.005000
82,60.296055,0.005000,0.250000,0.020000,0.002000,0.010000,0.800000,0.866877,0.880995,0.747454,4.000000,20.000000,533.698022,40.000000,2.195249,3.508178,4.000000,0.701588,4.131133,0.075823,20.000000,0.002000,0.500000,0.250716,0.630227,100.000000,5.000000,1.000000,0.010995
83,57.146801,0.005000,0.250000,0.020000,0.011129,0.010000,0.666532,0.615442,0.700000,0.700000,4.000000,20.000000,600.000000,40.000000,2.000000,4.761874,4.000000,0.300000,1.500000,0.693320,300.000000,0.050000,0.500000,2.000000,2.000000,50.330900,3.157918,1.000000,0.100000
84,57.960964,0.005000,0.250000,0.020000,0.002000,0.071985,0.200000,1.000000,0.700000,0.700000,8.186916,9.559108,384.013873,40.000000,8.000000,6.227435,4.000000,0.900000,6.000000,0.834601,300.000000,0.013702,0.500000,1.274081,2.000000,100.000000,0.500000,3.908535,0.100000
85,60.525171,0.050000,0.250000,0.035060,0.015213,0.010000,0.531502,1.000000,0.950000,0.700000,4.000000,6.000000,200.000000,200.000000,8.000000,7.000000,4.000000,0.366743,6.000000,1.000000,20.000000,0.002000,5.000000,2.000000,0.300000,100.000000,3.957892,4.000000,0.006414
86,61.328893,0.005000,0.250000,0.100000,0.003522,0.010000,0.200000,0.658841,0.925830,0.950000,15.000000,20.000000,379.463315,119.721478,8.000000,6.254184,2.835162,0.300000,1.500000,0.000000,216.132769,0.050000,1.968701,0.183836,0.300000,23.754343,0.500000,4.000000,0.005000
87,57.152384,0.037458,0.137780,0.020000,0.019871,0.010000,0.800000,0.600000,0.700000,0.700000,4.000000,6.000000,600.000000,200.000000,2.000000,4.613394,1.722817,0.300000,6.000000,1.000000,50.832893,0.050000,3.288887,2.000000,0.507438,10.000000,5.000000,1.000000,0.005000
88,57.970135,0.005000,0.239120,0.100000,0.020000,0.031750,0.200000,1.000000,0.700000,0.700000,4.000000,20.000000,600.000000,40.000000,7.180993,4.837439,2.413013,0.300000,6.000000,1.000000,221.343218,0.002000,4.705923,0.100000,2.000000,10.000000,5.000000,4.000000,0.005000
89,58.431962,0.005541,0.250000,0.064036,0.002000,0.010000,0.200000,0.640125,0.700000,0.802705,12.268863,11.311192,328.868646,40.000000,2.000000,4.292084,4.000000,0.712984,1.500000,1.000000,300.000000,0.002000,1.204732,0.100000,0.300000,85.577645,0.500000,4.000000,0.005000
90,60.484426,0.005000,0.050000,0.079820,0.020000,0.010000,0.225915,0.600000,0.950000,0.700000,5.497664,6.000000,200.000000,137.262428,8.000000,6.019070,1.500000,0.300000,3.247525,0.521862,248.234540,0.050000,0.500000,0.100000,2.000000,83.113637,0.500000,1.261395,0.100000
91,60.647056,0.035724,0.250000,0.020000,0.002000,0.059848,0.200000,0.632421,0.901714,0.700000,7.998994,20.000000,335.069468,191.098071,5.836593,7.000000,1.500000,0.672102,4.788070,0.000000,300.000000,0.002000,5.000000,1.794110,2.000000,10.000000,3.298064,1.000000,0.100000
92,58.317391,0.050000,0.050000,0.020000,0.009178,0.010000,0.225065,0.600000,0.700000,0.822827,15.000000,13.353658,200.000000,200.000000,8.000000,2.000000,4.000000,0.900000,6.000000,1.000000,20.000000,0.036864,1.169448,0.100000,2.000000,31.449574,1.638816,1.016969,0.062135
